goos: darwin
goarch: arm64
pkg: github.com/Gaudeamus/syncMapGeneric
cpu: Apple M1 Pro
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7213833	       164.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7310913	       163.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	48029937	        29.13 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	28159429	        38.13 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	43803480	        25.83 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	50692533	        34.04 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	46792518	        26.38 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	40950739	        27.14 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	44557281	        31.24 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	42885541	        28.33 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	40906302	        27.85 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyHits/*syncmap.SyncMap[int,int]-10         	47249985	        38.90 ns/op	      28 B/op	       2 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 1973343	       737.9 ns/op	     122 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 1759515	       643.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 1859931	       632.8 ns/op	     119 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 1836678	       558.8 ns/op	     116 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 2128838	       567.3 ns/op	     117 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 2148384	       583.7 ns/op	     118 B/op	       5 allocs/op
BenchmarkSwapMostlyMisses/*syncmap.SyncMap[int,int]-10       	 2141094	       624.0 ns/op	     119 B/op	       5 allocs/op
